,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
235,Structures,5050148178012.68848,-0.25587,0.20185,0.11220,0.27882,0.20185,0.21617,non-corporate,0.50102,2020
235,Structures,5050148178012.68848,-0.24881,0.20205,0.11344,0.28300,0.20205,0.21721,non-corporate,0.50073,2021
235,Structures,5050148178012.68848,-0.24478,0.20634,0.11780,0.28600,0.20634,0.22118,non-corporate,0.49143,2022
235,Structures,5050148178012.68848,-0.24023,0.21028,0.12195,0.29003,0.21028,0.22509,non-corporate,0.48208,2023
235,Structures,5050148178012.68848,-0.23560,0.21415,0.12600,0.29301,0.21415,0.22875,non-corporate,0.47277,2024
235,Structures,5050148178012.68848,-0.28170,0.25115,0.15324,0.28694,0.25115,0.25655,non-corporate,0.46634,2025
235,Structures,5050148178012.68848,-0.27591,0.25519,0.15762,0.29139,0.25519,0.26062,non-corporate,0.45710,2026
235,Structures,5050148178012.68848,-0.27624,0.25540,0.15779,0.29266,0.25540,0.26102,non-corporate,0.45709,2027
235,Structures,5050148178012.68848,-0.27646,0.25554,0.15788,0.29381,0.25554,0.26134,non-corporate,0.45711,2028
235,Structures,5050148178012.68848,-0.27670,0.25570,0.15798,0.29533,0.25570,0.26174,non-corporate,0.45715,2029
